1621243960067,      45092.2833
1621243960167,      45092.2834
1621243960267,      45092.2312
1621243960367,      45091.7384
1621243960467,      45091.5217
1621243960567,      45091.5224
1621243960667,      45091.1978
1621243960767,      45091.2264
1621243960967,      45091.2850
1621243961067,      45091.3326
1621243961167,      45091.3320
1621243961267,      45091.9345
1621243961367,      45092.0752
1621243961467,      45093.2439
1621243961567,      45093.2863
1621243961767,      45093.2830
1621243961867,      45093.2536
1621243961967,      45093.3103
1621243962067,      45093.4634
1621243962167,      45093.4930
1621243962267,      45093.5236
1621243962467,      45093.2847
1621243962567,      45094.4174
1621243962667,      45094.4514
1621243962767,      45094.4609
1621243962867,      45094.2746
1621243962967,      45094.5111
1621243963067,      45094.5121
1621243963167,      45094.7267
1621243963467,      45095.0409
1621243963567,      45095.1640
1621243963667,      45095.6853
1621243963767,      45095.8390
1621243963967,      45096.1614
1621243964067,      45096.1736
1621243964167,      45096.3742
1621243964267,      45096.4137
1621243964367,      45096.3400
1621243964467,      45096.3410
1621243964567,      45096.3730
1621243964767,      45096.3722
1621243964867,      45096.4225
1621243964967,      45096.4254
1621243965067,      45096.2836
1621243965167,      45096.3789
1621243965267,      45098.3474
1621243965367,      45098.3572
1621243965467,      45098.3818
1621243965667,      45098.7773
1621243965767,      45099.9059
1621243965867,      45100.0194
1621243965967,      45100.0193
1621243966067,      45100.0195
1621243966167,      45100.0231
1621243966267,      45100.0231
1621243966367,      45100.0231
1621243966467,      45100.0263
1621243966667,      45100.0285
1621243966767,      45100.0302
1621243966867,      45101.4516
1621243966967,      45101.5211
1621243967067,      45101.9731
1621243967167,      45101.9734
1621243967267,      45101.9742
1621243967467,      45102.4688
1621243967567,      45102.5536
1621243967667,      45102.6510
1621243967767,      45102.6460
1621243967867,      45102.6685
1621243967967,      45102.6702
1621243968067,      45102.6471
1621243968267,      45102.6566
1621243968367,      45102.1771
1621243968667,      45102.0355
1621243968767,      45101.9569
1621243968867,      45100.4497
1621243968967,      45099.6037
1621243969067,      45096.2176
1621243969167,      45092.5578
1621243969267,      45091.9332
1621243969467,      45091.7614
1621243969567,      45091.5117
1621243969667,      45091.4997
1621243969767,      45091.2963
1621243969867,      45091.2693
1621243969967,      45089.1510
1621243970067,      45089.1754
1621243970267,      45089.4556
1621243970367,      45090.2977
1621243970467,      45090.3017
1621243970567,      45091.8341
1621243970667,      45091.8609
